	all	with	with_clust1	with_clust2	with_clust3	with_clust4	with_clust5	wo	wo_clust1	wo_clust2	wo_clust3	wo_clust4	wo_clust5
UP00204_1_Gbx1_2883.2	0.999999999971	1.0	0.999999974059	0.999977917824	0.999999999992	1.0	1.0	1.0	0.999999995437	0.99999973206	0.999562520021	0.999999976059	0.999999998831
MA0496.1.MAFK	0.999999999935	0.999999999995	0.99975278362	0.999999090805	0.999999973155	1.0	0.999846071273	0.999976931211	0.999996470708	0.999504213072	0.618346833609	0.999996772669	0.818232516005
UP00144_1_Hoxb4_2627.1	0.999999999947	0.999999999999	1.0	1.0	0.999999999999	1.0	1.0	1.0	0.999999999998	0.99999999999	1.0	1.0	1.0
MA0028.1.ELK1	3.52167204124e-286	5.61273191786e-164	2.74844561288e-13	1.46165963621e-19	7.43530636354e-40	3.90017238465e-66	2.28790078858e-31	1.24325797287e-119	9.26904507671e-13	2.04396210615e-07	8.48702298218e-29	1.07719896739e-48	2.96221536332e-39
UP00129_1_Pou3f1_3819.1	0.999999999968	0.999999999978	1.0	1.0	0.999999999998	1.0	1.0	1.0	0.999999999999	1.0	1.0	1.0	1.0
MA0025.1.NFIL3	0.999999999972	0.99999999999	0.999999999785	0.999999985148	1.0	1.0	1.0	1.0	0.999988994317	0.999975142184	0.999999051687	0.999999997923	1.0
MA0494.1.Nr1h3::Rxra	0.999999682198	0.984166631307	0.849657635894	0.992905923282	0.995847283098	0.998493960078	0.0228277537237	0.97163114675	0.998480097722	0.339702153388	0.808005184177	0.997218150385	0.571138321297
UP00140_1_Hoxd1_3448.1	0.99999999996	0.999999999997	0.999999998965	0.999999055339	0.999999999998	1.0	1.0	1.0	0.999990734353	0.999980153675	0.999915625367	0.999999999986	0.999999682188
UP00055_1_Hbp1_primary	0.99999999997	0.999999999994	0.99999999776	0.999999999878	1.0	1.0	1.0	1.0	0.999998313074	0.760451339687	0.99999925376	0.999999999997	0.999999926235
UP00095_1_Zfp691_primary	2.91781160801e-16	1.5024043107e-09	0.0201898460461	0.0730425401786	0.00224302480887	0.0352736484782	2.53590809657e-06	4.23103912472e-07	0.0918282595481	0.151403575086	0.0178326321416	0.134345741661	0.000484072344708
